"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Photometric Visual-Inertial Navigation With Uncertainty-Aware Ensembles","J. H. Jung; Y. Choe; C. G. Park","Department of Aero- space Engineering and Automation and Systems Research Institute, Seoul National University, Seoul, South Korea; Department of Aero- space Engineering and Automation and Systems Research Institute, Seoul National University, Seoul, South Korea; Navigation and Electronic System Laboratory, Department of Aerospace Engineering, and Institute of Advanced Aerospace Technology, Seoul National University, Seoul, South Korea",IEEE Transactions on Robotics,"5 Aug 2022","2022","38","4","2039","2052","In this article, we propose a visual-inertial navigation system that directly minimizes a photometric error without an explicit data-association. We focus on the photometric error parametrized by pose and structure parameters that is highly nonconvex due to the nonlinearity of image intensity. The key idea is to introduce an optimal intensity gradient that accounts for a projective uncertainty of a pixel. Ensembles sampled from the state uncertainty contribute to the proposed gradient and yield a correct update direction even in a bad initialization point. We present two sets of experiments to demonstrate the strengths of our framework. First, a thorough Monte Carlo simulation in a virtual trajectory is designed to reveal robustness to large initial uncertainty. Second, we show that the proposed framework can achieve superior estimation accuracy with efficient computation time over state-of-the-art visual-inertial fusion methods in a real-world UAV flight test, where most scenes are composed of a featureless floor.","1941-0468","","10.1109/TRO.2021.3139964","Unmanned Vehicles Core Technology Research and Development Program; Unmanned Vehicle Advanced Research Center; National Research Foundation of Korea; Korea government(grant numbers:2020M3C1C1A01086408); Hyundai NGV Company; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9686364","Iterated extended Kalman filter (EKF);matrix Lie groups;stochastic linearization;visual-inertial navigation","Navigation;Robots;Robot kinematics;Uncertainty;Robustness;Cameras;Measurement uncertainty","","17","","55","CCBYNCND","19 Jan 2022","Aug. 2022","","IEEE","IEEE Journals"
"Sensitivity Analysis of a Visual Inertial Odometry-based Navigation System for UAV","L. D. Vito; A. Neyestani; F. Picariello; S. Rapuano; I. Tudosa","Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy",2025 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),"18 Jul 2025","2025","","","1","6","This paper presents a detailed sensitivity analysis of a Visual-Inertial Odometry (VIO) framework designed for unmanned aerial vehicle (UAV) navigation, utilizing sensor fusion from cameras, LiDAR, altimeters, and inertial measurement units (IMUs). The analysis quantifies the impact of various sources of uncertainty, including environmental and lighting conditions, intrinsic sensor parameters, and algorithmic factors associated with keypoint detection and matching. Through Monte Carlo simulations, several keypoint detection techniques, specifically ORB and semantic segmentation, are evaluated across diverse operational scenarios. The results demonstrate that the analysed framework achieves reliable trajectory estimation, with both ORB and semantic segmentation providing accurate and consistent positioning. Notably, semantic segmentation achieves the lowest uncertainty under varying conditions. This study validates the proposed uncertainty model and identifies critical factors influencing the reliability of VIO-based UAV navigation, offering insights for enhancing system performance in real-world applications.","2642-2077","979-8-3315-0500-4","10.1109/I2MTC62753.2025.11079197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079197","Visual-Inertial Odometry (VIO);UAV Navigation;Sensor Fusion;Uncertainty Analysis;Keypoint Detection Algorithms","Uncertainty;Monte Carlo methods;Sensitivity analysis;Semantic segmentation;Sensor fusion;Autonomous aerial vehicles;Feature extraction;Trajectory;Reliability;Odometry","","","","27","IEEE","18 Jul 2025","19-22 May 2025","19-22 May 2025","IEEE","IEEE Conferences"
"Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV","E. M. Lee; I. Wee; T. Kim; D. H. Shim","School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea","2019 19th International Conference on Control, Automation and Systems (ICCAS)","30 Jan 2020","2019","","","1166","1169","Recently, application of Unmanned Aerial Vehicle (UAV) attract much attention of not only academic but also industrial community. To control and make the most of UAV, state estimation is mandatory and it should work accurately on Real-time on computational-limited onboard PC. Especially, for the cases that GNSS-disabled environments or indoor situation, Visual Inertial Odometry using camera and IMU sensor has been actively studied. Generally, to research and develop the indoor navigation algorithm, high-performanced and super-expensive facilities like motion capture cameras are needed to measure the ground-truth. In this paper, we apply state-of-art Visual Inertial Odometry algorithms for state estimation of UAVs to FlightGoggles simulator which is photorealistic and which reflects UAV's real dynamics. Moreover, we compare the performance and resource utilization of those algorithms.","2642-3901","978-89-93215-17-5","10.23919/ICCAS47443.2019.8971738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8971738","Visual Inertial Odometry;State Estimation;Indoor Navigation;Unmanned Aerial Vehicle","Visualization;Heuristic algorithms;Indoor navigation;Autonomous aerial vehicles;Cameras;Real-time systems;Odometry;Resource management;State estimation;Videos","","5","","7","","30 Jan 2020","15-18 Oct. 2019","15-18 Oct. 2019","IEEE","IEEE Conferences"
"LM-VINS: A Lightweight Magnetic-Assisted Visual-Inertial Navigation System for Unmanned Aerial Vehicles","S. Yue; J. Mao; X. He; Y. Lv; X. Du; X. Luo","College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China",2025 China Automation Congress (CAC),"28 Apr 2026","2025","","","1832","1837","This paper presents LM-VINS, a lightweight magnetic-assisted visual-inertial navigation system tailored for unmanned aerial vehicles, built upon the MSCKF (Multi-State Constraint Kalman Filter) framework to address the problem of accumulated drift caused by the unobservable absolute heading in visual-inertial navigation systems. A magnetic-assisted initialization method is designed to calibrate magnetic data using ellipsoid fitting and align the VIO (Visual-Inertial Odometry) local frame with the global frame, solving the initial heading deviation problem. Then, a magnetic heading constraint factor is introduced into the MSCKF filtering framework to construct a heading residual model and suppress heading drift. Experimental results from tests on a lightweight UAV (Unmanned Aerial Vehicle) experimental platform in outdoor environments show that, compared to OpenVINS, the proposed system reduces positioning error by approximately 20% and attitude error by approximately 14%.","2688-0938","979-8-3315-8967-7","10.1109/CAC67268.2025.11487778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11487778","MSCKF;SLAM;Magnetic;multi-sensor fusion;UAV navigation;lightweight real-time system","Filtering;Filters;Kalman filters;Circuits;Circuits and systems;Feedback;Location awareness;Indoor environment;Pixel;Mobile communication","","","","16","IEEE","28 Apr 2026","26-28 Sept. 2025","26-28 Sept. 2025","IEEE","IEEE Conferences"
"Laser-aided Infrared Visual Inertial Odometry for Unmanned Aerial Vehicle with Multi-plane Constraint","X. Yan; Y. Bi; Z. Gao; F. Lin","Temasek Laboratories, National University of Singapore, Singapore; ECE Department, National University of Singapore, Singapore; Temasek Laboratories, National University of Singapore, Singapore; Temasek Laboratories, National University of Singapore, Singapore",2018 3rd International Conference on Advanced Robotics and Mechatronics (ICARM),"13 Jan 2019","2018","","","323","327","In this work, we propose an infrared visual inertial odometry (VIO) algorithm for unmanned aerial vehicles (UAV) for both daytime and nighttime. It utilizes images from a single downward-looking thermal camera, and uses a laser scanner to measure relative distance to determine the scale factor. The scale recovery process consists of a comprehensive logic flow to try out measurements into a homography decomposition with a multi-plane constraint, obtaining the results with minimum error, making the algorithm more robust. Moreover, other modifications, such as keyframe idea and pruning KLT tracker with sub-regions further improves the performance. Besides, the results are fused with an on-board IMU through an EKF-based sensor fusion framework. This infrared visual inertial odometry algorithm can still navigate UAVs during the missions when GPS is down or not reliable or under poor illumination condition.","","978-1-5386-7066-8","10.1109/ICARM.2018.8610740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8610740","","Cameras;Feature extraction;Calibration;Visualization;Visual odometry;Measurement by laser beam;Global Positioning System","","1","1","14","IEEE","13 Jan 2019","18-20 July 2018","18-20 July 2018","IEEE","IEEE Conferences"
"Gateway Crossing Method for Unmanned Aerial Vehicles Based on Lightweight Corner-Assisted Localization and Visual-Inertial Navigation","X. Liu; Y. Peng; H. Yu; X. Wang","National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China","2023 2nd International Conference on Machine Learning, Cloud Computing and Intelligent Mining (MLCCIM)","12 Dec 2023","2023","","","183","189","This paper proposes a lightweight gateway crossing method for micro-UAVs that integrates certain map prior information, based on a traditional visual-inertial odometer. A visual-inertial navigation system which fuses the gateway corner information is firstly introduced. This system includes a corner-assisted localization method, misrecognition detection mechanism and fusion method. The gateway crossing simulation and flight tests are carried out. The results show advantages in the accuracy, speed and lightweight of the proposed gateway crossing method for UAVs. The average trajectory error of the positioning system decreases by 20.1 % (simulation) and 34.3% (physical test) compared to those of VINS- Mono. The proposed method outperforms the gateway crossing method based on EGO-Planner in terms of memory and CPU utilization savings, with 29.0% (simulation) and 7.7% (physical test) memory usage reduction, and 21.9% (simulation) and 17.7% (physical test) CPU usage reduction.","","979-8-3503-2853-0","10.1109/MLCCIM60412.2023.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339505","corner-assisted localization;visual inertia odometer;autonomous positioning and navigation;gateway crossing;micro UAV","Location awareness;Visualization;Navigation;Fuses;Pose estimation;Logic gates;Autonomous aerial vehicles","","","","19","IEEE","12 Dec 2023","25-29 July 2023","25-29 July 2023","IEEE","IEEE Conferences"
"Deployment of Reliable Visual Inertial Odometry Approaches for Unmanned Aerial Vehicles in Real-world Environment","J. Bednář; M. Petrlík; K. C. T. Vivaldini; M. Saska","Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic; Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic; Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic; Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic",2022 International Conference on Unmanned Aircraft Systems (ICUAS),"26 Jul 2022","2022","","","167","176","Integration of Visual Inertial Odometry (VIO) methods into a modular control system designed for deployment of Unmanned Aerial Vehicles (UAVs) and teams of cooperating UAVs in real-world conditions are presented in this paper. Reliability analysis and fair performance comparison of several methods integrated into a control pipeline for achieving full autonomy in real conditions is provided. Although most VIO algorithms achieve excellent localization precision and negligible drift on artificially created datasets, the aspects of reliability in non-ideal situations, robustness to degraded sensor data, and the effects of external disturbances and feedback control coupling are not well studied. These imperfections, which are inherently present in cases of real-world deployment of UAVs, negatively affect the ability of the most used VIO approaches to output a sensible pose estimation. We identify the conditions that are critical for a reliable flight under VIO localization and propose workarounds and compensations for situations in which such conditions cannot be achieved. The performance of the UAV system with integrated VIO methods is quantitatively analyzed w.r.t. RTK ground truth and the ability to provide reliable pose estimation for the feedback control is demonstrated onboard a UAV that is tracking dynamic trajectories under challenging illumination.","2575-7296","978-1-6654-0593-5","10.1109/ICUAS54217.2022.9836067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9836067","Visual Inertial Odometry;Unmanned Aerial Vehicle;Trajectory Shaping;Feedback Control;Camera Orientation","Location awareness;Visualization;Feedback loop;Pose estimation;Autonomous aerial vehicles;Cameras;Control systems","","10","","41","IEEE","26 Jul 2022","21-24 June 2022","21-24 June 2022","IEEE","IEEE Conferences"
"A Low-Altitude UAV Dataset Based on Visual–Inertial Navigation","P. Lyu; C. Yong; J. Lai; C. Yuan; Q. Zhu; A. Han","College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",IEEE Sensors Journal,"17 Dec 2024","2024","24","24","41904","41911","As unmanned aerial vehicles (UAVs) are increasingly utilized in operational domains ranging from 50 to 500 m, there is a growing need for robust and reliable autonomous positioning, particularly in scenarios where satellite signals are unavailable. To address this challenge, we present a set of visual–inertial datasets collected by low-altitude UAVs. The dataset includes stereo cameras, an inertial measurement unit (IMU), a laser ranging sensor, and RTK-based ground truth. All these sensors have been calibrated and synchronized. The dataset consists of 28 sequences captured across diverse scenarios. To the best of our knowledge, this is the first UAV visual navigation dataset to encompass such a wide range of flight altitudes. Furthermore, we have evaluated the dataset using state-of-the-art visual–inertial simultaneous localization and mapping (SLAM) algorithms. The results demonstrate that existing solutions perform inadequately in certain situations. For the benefit of the research community, we make this dataset publicly accessible. The webpage of our dataset is https://github.com/boomzoeycy/A-Low-Altitude-UAV-Dataset-based-on-Visual-Inertial-Navigation.","1558-1748","","10.1109/JSEN.2024.3488289","National Key Research and Development Program of China(grant numbers:2022YFB3904300); National Natural Science Foundation of China(grant numbers:U2233215,62273178); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10745211","Dataset;simultaneous localization and mapping (SLAM);unmanned aerial vehicles (UAVs);visual–inertial navigation","Cameras;Sensors;Visualization;Autonomous aerial vehicles;Meters;Navigation;Distance measurement;Synchronization;Simultaneous localization and mapping;Calibration","","6","","26","IEEE","5 Nov 2024","15 Dec.15, 2024","","IEEE","IEEE Journals"
"Structure Priors Aided Visual-Inertial Navigation in Building Inspection Tasks With Auxiliary Line Features","Y. Lyu; S. Yuan; L. Xie","School of Automation, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Aerospace and Electronic Systems,"8 Aug 2022","2022","58","4","3037","3048","The article proposes a visual-inertial navigation method to support the autonomous operation of a quadrotor UAV during the building façade inspection tasks, where state-of-the-art vision-based localization methods may fail due to texture point feature insufficiency. Considering the appearance characteristics of the building façades, we additionally fuse line features and their corresponding structure prior information to the sliding-window-based estimator to improve localization reliability and accuracy. The contribution of the proposed method lies mainly in two aspects. First, we develop an informative feature selection mechanism according to the façade patterns and the inspection trajectory patterns to make a balance between localization accuracy and computation overheads. Second, we further utilize structure prior information, which is defined as line-to-line and point-to-line relationships, as another source of high-fidelity measurement to restrain the localization drifts. The proposed method is tested not only on public datasets, but also on an actual flight data package recorded in a building inspection task. Experimental results show that the proposed method can serve as a practical tool for navigating a robot in a building inspection task, with improved localization reliability and accuracy.","1557-9603","","10.1109/TAES.2022.3142663","National Research Foundation (NRF) Singapore; ST Engineering-NTU Corporate Laboratory; NRF Corporate Lab@ University Scheme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9681223","Building inspection;information gain;line feature;visual-inertial navigation","Inspection;Buildings;Location awareness;Navigation;Task analysis;Cameras;Optimization","","15","","39","IEEE","13 Jan 2022","Aug. 2022","","IEEE","IEEE Journals"
"Aerial Robots On the Way to Underground: An Experimental Evaluation of VINS-Mono on Visual-Inertial Odometry Camera","L. J. Chen; J. Henawy; B. B. Kocer; G. G. L. Seet","School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore, Singapore",2019 International Conference on Data Mining Workshops (ICDMW),"13 Jan 2020","2019","","","91","96","In recent years, applications of unmanned aerial vehicles (UAV) have been well received by a wide range of users due to its versatility and cost-effectiveness. When the UAVs operate outside without any surroundings, it can be possible to integrate global positioning system (GPS) into the UAV. However, GPS is ineffective to determine the position of UAV when the signal is weak or absent, such as operating in an indoor environment and tunnel network. To accurately determine the position of a UAV, another approach is to endow different sensors such as LIDAR, inertial measurement unit (IMU) and camera. In this paper, we present an experimental evaluation of a visual-inertial odometry application using VINS-Mono state estimator coupled with visual-inertial sensors. The objective of the experiment is to determine the effectiveness of the setup in an indoor environment, where the GPS signal is fully absent. In the experiment, a UAV capable of self-localization has been constructed with the integration of onboard computer, camera, and IMU. First, camera and IMU calibrations, as well as their hardware synchronization, have been set. Second, experimental evaluations have conducted to compare the UAV localization performance with ground truth data at motion analysis laboratory equipped with OptiTrack tracking system. Finally, a comparison study is given to determine the robustness and reliability of VINS-Mono state estimator and the UAV system using various flight velocities and environment features settings. Based on extensive evaluations, it is capable to localize a UAV in a GPS-denied environment, with an average root mean square error kept under 25 cm over an average flight duration within 2 minutes.","2375-9259","978-1-7281-4896-0","10.1109/ICDMW.2019.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955516","Aerial robot, UAV, visual inertial odometry, indoor localization","Cameras;Unmanned aerial vehicles;Feature extraction;Global Positioning System;Visualization;Visual odometry;Simultaneous localization and mapping","","12","","38","IEEE","13 Jan 2020","8-11 Nov. 2019","8-11 Nov. 2019","IEEE","IEEE Conferences"
