"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Prabhakar V.D.; Pandey V.K.; Sharma A.K.; Sandhan T.","Prabhakar, Vidit Datt (59485078800); Pandey, Vijay Kumar (59485209800); Sharma, Anuj Kumar (59139955600); Sandhan, Tushar (56043658100)","59485078800; 59485209800; 59139955600; 56043658100","Localization through RGB-D Camera for the Quad-rotor","2024","2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024","","","","","","1","10.1109/ICCCNT61001.2024.10725903","https://www.scopus.com/pages/publications/85212943107?origin=resultslist","This paper presents a thorough investigation into the implementation of a localization system using a RGB-D camera that prioritizes computational efficiency. The study focuses on utilizing the Oak D Pro depth camera, which includes an in-built Inertial Measurement Unit. Visual Odometry is used to estimate the camera pose which is lighter in computation than other algorithms like Simultaneous Localization and Mapping. The IMU is used to obtain the camera pose due to the presence of drift during the camera's fast motion. The readings are fused together to get the correct camera pose by employing the Extended Kalman Filter for sensor fusion, achieving seamless integration of VO and IMU. This research explores the adaptation of Visual Inertial Odometry system for an autonomous Unmanned Aerial Vehicles applications, specifically for a quad-rotor/drone. © 2024 IEEE.","Extended Kalman Filter; Inertial Measurement Unit; Localization; Quad-rotor; RGB-D camera; Sensor Fusion; Unmanned Aerial Vehicle; Visual Inertial Odometry","Image segmentation; Robotics; Time difference of arrival; Unmanned aerial vehicles (UAV); Aerial vehicle; Inertial measurements units; Localisation; Localisation Systems; Odometry; Quad rotors; RGB-D camera; Sensor fusion; Unmanned aerial vehicle; Visual inertial odometry; Extended Kalman filters","Conference paper","Final","","Scopus","2-s2.0-85212943107"
"Zhihong Q.; Yijun W.","Zhihong, Qian (60619623000); Yijun, Wang (36703646500)","60619623000; 36703646500","Intelligent Unmanned Aerial Vehicles for Low-altitude Economy: A Review of the Technology Framework and Future Prospects; [低空经济赋能者：智能无人机技术体系综述与展望]","2026","Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology","48","1","","1","33","","10.11999/JEIT251246","https://www.scopus.com/pages/publications/105038031994?origin=resultslist","Significance The deep integration of new quality productive forces with the digital economy accelerates the development of the low-altitude economy and positions it as an emerging driver of global economic growth. Operating in airspace typically below 3 000 m, this industrial system supports diverse applications, including Unmanned Aerial Vehicle (UAV) logistics, Urban Air Mobility (UAM), industrial inspection, and public safety. Intelligent UAVs, characterized by cost efficiency, scalability, and autonomous capability, function as the core technical enabler of this ecosystem. Their deployment promotes a transition in aviation from centralized and isolated operation modes toward distributed, intelligent, and service-oriented aerial utilization. From a strategic perspective, intelligent UAVs contribute to industrial upgrading, urban infrastructure improvement, airspace security assurance, and regional economic development. Therefore, a systematic review and structured construction of an intelligent UAV technology framework is necessary to support future research, clarify key challenges, and promote sustained development of the low-altitude economy. Progress A holistic technology framework for intelligent UAVs is constructed, organized hierarchically from foundational technologies to application-oriented systems. The framework integrates four interrelated domains. Intelligent perception and navigation emphasize stable operation in complex environments through tightly coupled multi-sensor fusion and advanced state estimation methods, such as visual-inertial odometry, supported by multi-source adaptive positioning in Global Navigation Satellite System (GNSS)-denied scenarios. Wireless communication networks focus on reliable Beyond-Visual-Line-Of-Sight (BVLOS) connectivity by combining cellular network access, self-organizing flying ad hoc networks (FANETs) with intelligent topology control, and UAV-assisted edge computing for efficient resource scheduling. Autonomous decision-making and cooperative control evolve from classical rule-based approaches toward learning-based paradigms, where multi-agent reinforcement learning enables coordinated swarm behavior and adaptive task execution. Low-altitude security and airspace management provide essential system support through integrated detection and countermeasure technologies, supplemented by UAV cloud platforms and Unmanned aircraft system Traffic Management (UTM) for coordinated airspace operation. Conclusions The review indicates that UAVs are transitioning from isolated platforms to interconnected intelligent nodes embedded within the low-altitude economy system. Although substantial progress has been achieved across multiple technological domains, several critical challenges remain. Major technical constraints include maintaining communication reliability in complex low-altitude channels, addressing perception degradation in cluttered or deceptive environments, achieving robust autonomous cooperation under uncertainty, and overcoming the inherent limitations of existing energy and power technologies. These technical issues coexist with non-technical barriers, such as the establishment of adaptive regulatory and airspace governance frameworks, the formation of scalable and sustainable business models, and the enhancement of public acceptance. The analysis suggests that addressing these challenges requires deep integration of enabling technologies. A closed-loop evolution paradigm of “challenge-driven → technology fusion → system construction → feedback iteration” is proposed to describe the intrinsic iterative logic of technological development and to provide methodological guidance for future research and engineering practice. Prospects Future intelligent UAV development is expected to concentrate on several strongly coupled directions. Intelligent holistic communication will advance through deep integration of air-ground-space networks and Integrated Sensing And Communication (ISAC), forming a proactive data environment that supports predictive resource management and resilient connectivity. Cognitive swarm intelligence will promote the transformation of UAV clusters into cooperative cognitive systems by combining large language models for task comprehension with multi-agent reinforcement learning for decentralized decision-making, enabling emergent collective intelligence. High-assurance autonomous security will rely on formal verification of artificial intelligence models, explainable decision mechanisms, and extensive application of digital twins for virtual validation and certification, thereby strengthening operational trust. In parallel, green and sustainable technologies will influence the full lifecycle of UAV systems, encouraging advances in high-energy-density power solutions, including solid-state batteries and hydrogen fuel cells, the use of environmentally friendly materials, and artificial intelligence-based optimization of energy consumption and acoustic performance, which together support the long-term sustainability of the low-altitude economy. © (2026), (Science Press). All rights reserved.","Closed-loop evolution paradigm; Intelligent Unmanned Aerial Vehicle(UAV); Low-altitude economy; Technology system; 低空经济; 技术体系; 智能无人机; 闭环演进范式","Adaptive control systems; Advanced traffic management systems; Air navigation; Air traffic control; Air transportation; Aircraft control; Aircraft detection; Altitude control; Antennas; Communication satellites; Decision making; Digital avionics; Distributed computer systems; Fighter aircraft; Flight control systems; Global positioning system; Industrial economics; Intelligent agents; Mobile telecommunication systems; Regional planning; Unmanned aerial vehicles (UAV); Aerial vehicle; Closed-loop; Closed-loop evolution paradigm; Intelligent unmanned aerial vehicle; Low altitudes; Low-altitude economy; Technology system; 低空经济; 技术体系; 智能无人机; 闭环演进范式; Multi agent systems","Article","Final","","Scopus","2-s2.0-105038031994"
"Liang L.; Rao H.; Shen G.; Wang C.; Wu X.","Liang, Lebin (58637222900); Rao, Haotian (58637587100); Shen, Guohao (58637055200); Wang, Can (57223792573); Wu, Xinyu (7407065301)","58637222900; 58637587100; 58637055200; 57223792573; 7407065301","A Real-time Framework for UAV Indoor Self-Positioning and 3D Mapping Base on 2D Lidar, Stereo Camera and IMU","2023","Proceedings of the 2023 IEEE International Conference on Real-Time Computing and Robotics, RCAR 2023","","","","280","285","2","10.1109/RCAR58764.2023.10249971","https://www.scopus.com/pages/publications/85173623230?origin=resultslist","This paper proposed a real-time Unmanned Aerial Vehicle (UAV) autonomous localization framework based on onboard sensors, including 2D Lidar, Stereo Camera and Inertial Measurement Unit (IMU), built on the open-source VINS-Fusion software to achieve real-time and drift-free UAV pose estimation. The proposed framework eliminates the motion distortion of Lidar during UAV motion by combining Visual-Inertial Odometry (VIO). It obtains global localization information of Lidar by PL-ICP algorithm based on a global point cloud map. Graph optimization method is used to fuse the local positional estimation and the global information from the Lidar, which eliminate the cumulative error caused by VIO. The feasibility of the method is verified by experiments and compared with the method of only running Visual-Inertial Navigation Systems (VINS), the framework improves the accuracy of localization. In addition, we have implemented the construction of octree maps of 3D environments through the framework of this system. © 2023 IEEE.","","Air navigation; Antennas; Cameras; Indoor positioning systems; Inertial navigation systems; Open source software; Open systems; Stereo image processing; Unmanned aerial vehicles (UAV); 3-D mapping; Aerial vehicle; Inertial measurements units; Localisation; Odometry; On-board sensors; Open-source; Real- time; Self-positioning; Stereo cameras; Optical radar","Conference paper","Final","","Scopus","2-s2.0-85173623230"
"Mirchev A.; Kayalibay B.; van der Smagt P.; Bayer J.","Mirchev, Atanas (57189904045); Kayalibay, Baris (57219545154); van der Smagt, Patrick (6601929804); Bayer, Justin (35178930500)","57189904045; 57219545154; 6601929804; 35178930500","VARIATIONAL STATE-SPACE MODELS FOR LOCALISATION AND DENSE 3D MAPPING IN 6 DOF","2021","ICLR 2021 - 9th International Conference on Learning Representations","","","","","","4","","https://www.scopus.com/pages/publications/85123685311?origin=resultslist","We solve the problem of 6-DoF localisation and 3D dense reconstruction in spatial environments as approximate Bayesian inference in a deep state-space model. Our approach leverages both learning and domain knowledge from multiple-view geometry and rigid-body dynamics. This results in an expressive predictive model of the world, often missing in current state-of-the-art visual SLAM solutions. The combination of variational inference, neural networks and a differentiable raycaster ensures that our model is amenable to end-to-end gradient-based optimisation. We evaluate our approach on realistic unmanned aerial vehicle flight data, nearing the performance of state-of-the-art visual-inertial odometry systems. We demonstrate the applicability of the model to generative prediction and planning. © 2021 ICLR 2021 - 9th International Conference on Learning Representations. All rights reserved.","","Antennas; Domain Knowledge; Inference engines; State space methods; Three dimensional computer graphics; 3-D mapping; Approximate Bayesian inference; Domain knowledge; Localisation; Multiple view geometry; Predictive models; Rigidbody dynamics; Spatial environments; State of the art; State-space models; Bayesian networks","Conference paper","Final","","Scopus","2-s2.0-85123685311"
"Wang H.; Lan B.; Wei B.; Chen X.; Guo C.","Wang, Hao (60510847600); Lan, Bin (57222475093); Wei, Bangguo (59383012100); Chen, Xiangyang (59950882300); Guo, Chao (60511905300)","60510847600; 57222475093; 59383012100; 59950882300; 60511905300","Optimization and Acceleration of Visual-Inertial Navigation System for UAVs Based on Heterogeneous Computing Architecture","2026","Lecture Notes in Electrical Engineering","1502 LNEE","","","468","481","0","10.1007/978-981-95-4053-2_48","https://www.scopus.com/pages/publications/105033233371?origin=resultslist","We propose an optimization and acceleration solution for Visual-Inertial Navigation Systems (VINS) on UAVs based on heterogeneous computing architecture. As UAV application scenarios diversify, the requirements for autonomous navigation capabilities continue to increase. Visual-Inertial Navigation has become one of the mainstream technologies due to its advantages of low cost, rich information, and high reliability. However, real-time operation of VINS systems on resource-constrained UAV platforms still faces significant challenges, especially in highly dynamic and complex environments. Through a software-hardware co-design approach, this paper addresses the performance bottlenecks of VINS-Mono systems on UAV platforms. The main innovations include: proposing an initialization method combining optical flow and descriptors to improve system robustness in low-texture and fast-motion scenarios; designing an optical flow tracking strategy to replace OpenCV feature extraction, enhancing feature tracking efficiency through hardware acceleration interfaces; developing an adaptive feature selection algorithm to balance computational resources and precision in backend optimization. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","computer vision; heterogeneous computing; real-time system optimization; UAV; visual-inertial navigation","Adaptive optics; Air navigation; Architecture; Computer architecture; Computer hardware; Computer vision; Feature extraction; Hardware-software codesign; Interactive computer systems; Real time systems; Visual servoing; Computing architecture; Heterogeneous computing; Inertial navigations; Optical-; Optimisations; Real - Time system; Real-time system optimization; System optimizations; UAV platform; Visual-inertial navigation; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-105033233371"
"Zhang Z.; Zhang B.; Lv M.; Liu S.; Xue J.; Wei H.","Zhang, Zhipeng (58107478000); Zhang, Buhong (57407417400); Lv, Meibo (57205167322); Liu, Sunhao (60586373600); Xue, Jingyuan (60586373700); Wei, Hairui (57667458600)","58107478000; 57407417400; 57205167322; 60586373600; 60586373700; 57667458600","Robust UAV Localization in GNSS-Denied Environments via Efficient Visual Scene Matching-Inertial Fusion","2025","2025 6th International Conference on Computers and Artificial Intelligence Technology, CAIT 2025","","","","383","389","0","10.1109/CAIT68620.2025.11424858","https://www.scopus.com/pages/publications/105036048446?origin=resultslist","In environments where Global Navigation Satellite Systems (GNSS) are degraded or unavailable, unmanned aerial vehicle (UAV) visual-inertial localization faces challenges including cross-domain scale inconsistency, accumulated inertial drift, and limited onboard computing resources. To address these issues, we propose a lightweight visual-inertial localization framework for onboard platforms that combines low-rate absolute corrections from satellite-to-aerial visual scene matching with high-rate relative motion constraints from inertial measurement unit (IMU) pre-integration. The two are fused via a loosely coupled Error-State Kalman Filter (ESKF), achieving real-time, robust localization through low-rate absolute correction + high-rate dead reckoning. To reduce the cross-domain search space and mitigate scale mismatch, we introduce a barometer-assisted adaptive satellite-image loading and ground sampling distance (GSD) normalization pipeline that dynamically selects satellite tiles and aligns scale between satellite and onboard imagery. On the vision side, an accelerated XFeat model delivers high-quality feature extraction and matching; On the fusion side, the ESKF effectively suppresses inertial drift and improves resilience to visual outliers and anomalous conditions. The full system is deployed on a NVIDIA Orin Nano embedded platform and validated in real flight tests, demonstrating accurate and robust localization in complex real-world scenarios.  © 2025 IEEE.","deep learning; GNSS-denied environments; UAV localization; visual navigation; Visual scene matching; visual-inertial fusion","","Conference paper","Final","","Scopus","2-s2.0-105036048446"
"Lazareva P.A.; Malikov A.I.; Degtyarev G.L.; Mannanov R.T.","Lazareva, P.A. (55799753900); Malikov, A.I. (60145879200); Degtyarev, G.L. (7003680344); Mannanov, R.T. (60145879300)","55799753900; 60145879200; 7003680344; 60145879300","Multimodal Visual Navigation of Unmanned Aerial Vehicles Using Satellite Maps and Thermal Imaging Cameras","2025","Russian Aeronautics","68","4","","825","832","0","10.3103/S106879982504004X","https://www.scopus.com/pages/publications/105035366084?origin=resultslist","Abstract: This paper examines the problem of visual navigation for unmanned aerial vehicles in low-light conditions. To ensure the day/night navigation, a method for cross-modal transformation of visible-light satellite imagery into thermal representations is proposed using the ThermalGen flow-based generative model. The resulting heat maps are used in an absolute visual localization algorithm based on matching data from an onboard LWIR camera with a transformed satellite reference image. The algorithm is integrated into a hybrid visual-inertial navigation module that fuses the results of absolute visual localization, visual odometry, and inertial measurements based on an extended Kalman filter. Testing on images transformed into thermal images demonstrated high accuracy in determining absolute coordinates and confirmed the viability of the proposed approach for nighttime navigation. © Allerton Press, Inc. 2025.","cross-modal image transformation; generative flow-based network; satellite map; thermal imaging LWIR camera; unmanned aerial vehicle; visual-inertial navigation","Antennas; Cameras; Computer vision; Geometrical optics; Inertial navigation systems; Infrared imaging; Satellite imagery; Three dimensional computer graphics; Unmanned aerial vehicles (UAV); Vision; Visual servoing; Aerial vehicle; Cross-modal; Cross-modal image transformation; Flow based; Generative flow-based network; Image transformations; Inertial navigations; Satellite map; Thermal imaging LWIR camera; Thermal-imaging; Unmanned aerial vehicle; Visual-inertial navigation; Air navigation","Article","Final","","Scopus","2-s2.0-105035366084"
"Kalaitzakis M.; Carroll S.; Ambrosi A.; Whitehead C.; Vitzilaios N.","Kalaitzakis, Michail (57210913629); Carroll, Sabrina (57219729191); Ambrosi, Anand (57219729157); Whitehead, Camden (57219724006); Vitzilaios, Nikolaos (25030734700)","57210913629; 57219729191; 57219729157; 57219724006; 25030734700","Experimental Comparison of Fiducial Markers for Pose Estimation","2020","2020 International Conference on Unmanned Aircraft Systems, ICUAS 2020","","","9213977","781","789","75","10.1109/ICUAS48674.2020.9213977","https://www.scopus.com/pages/publications/85094940225?origin=resultslist","Accurate localization is crucial for the autonomous navigation and control of Unmanned Aircraft Systems (UAS). In most applications, localization is provided from a Global Navigation Satellite System like GPS and Galileo or more recently from Visual Odometry, Visual-Inertial Odometry, and Simultaneous Localization and Mapping methods. In many cases though, especially when precise maneuvers are required, fiducial markers are used. Fiducial markers are able to provide accurate localization data and have been used in many applications where reliable pose measurements are needed for specific objects or locations. This paper presents an experimental comparison of four different open-source fiducial markers that are widely used in UAS applications (ARTag, AprilTag, ArUco, and STag). The fiducial markers are evaluated based on their localization capabilities as well as their computational efficiency. To facilitate the comparison, a ROS package for the STag marker is developed and publicly released. © 2020 IEEE.","","Air navigation; Computational efficiency; Global positioning system; Visual servoing; Autonomous navigation; Experimental comparison; Global Navigation Satellite Systems; Pose estimation; Pose measurement; Simultaneous localization and mapping; Unmanned aircraft system; Visual odometry; Unmanned aerial vehicles (UAV)","Conference paper","Final","","Scopus","2-s2.0-85094940225"
"Xu Z.; Zhu F.; Zhang Z.; Jian C.; Lv J.; Zhang Y.; Zhang X.","Xu, Zhuo (58822571600); Zhu, Feng (55200578500); Zhang, Zihang (59530803000); Jian, Chang (59530707300); Lv, Jiarui (59129410400); Zhang, Yuantai (7601313779); Zhang, Xiaohong (55715297700)","58822571600; 55200578500; 59530803000; 59530707300; 59129410400; 7601313779; 55715297700","PO-GVINS: A Tightly Coupled GNSS-Visual-Inertial Navigation Framework Using Pose-Only Representation","2025","IEEE Robotics and Automation Letters","10","10","","10830","10837","1","10.1109/LRA.2025.3606792","https://www.scopus.com/pages/publications/105015337765?origin=resultslist","Accurate and reliable positioning is essential for perception, decision-making, and other high-level applications in autonomous driving, autonomous aerial vehicles, and intelligent robotics. Due to the inherent limitations of standalone sensors, integrating heterogeneous sensors with complementary capabilities is an effective approach to achieving this goal. The visual-inertial navigation system (VINS) fuses visual cameras and inertial measurement units (IMUs) to explore unknown environments. It requires a priori knowledge of 3D features and jointly estimates camera poses and feature positions, which inevitably introduces feature linearization errors. Meanwhile, the dimensionality of the system state increases with abundant textures, degrading real-time performance. To eliminate accumulated errors from VINS, frameworks further fuse measurements from the Global Navigation Satellite System (GNSS), but still suffer from similar limitations. To address the aforementioned issues, we propose a filtering-based, tightly coupled GNSS-visual-inertial positioning framework with a pose-only formulation applied to VINS, termed PO-GVINS. We first apply the PO formulation to our VINS (PO-VINS). GNSS raw measurements are subsequently incorporated, with integer ambiguities resolved, to achieve accurate and drift-free state estimation. Extensive experiments demonstrate that the proposed PO-VINS significantly outperforms the multi-state constraint Kalman filter (MSCKF) and achieves accuracy comparable to that of optimization-based VINS. By further incorporating GNSS measurements, PO-GVINS achieves accurate, drift-free state estimation, making it a robust solution for positioning in challenging environments.  © 2016 IEEE.","global navigation satellite system; Multi-sensor fusion navigation; pose-only formulation; tightly coupling; visual-inertial system","Air navigation; Antennas; Cameras; Communication satellites; Decision making; Inertial navigation systems; Intelligent robots; Kalman filters; State estimation; Unmanned aerial vehicles (UAV); Drift-free; Global Navigation Satellite Systems; Inertial navigations; Inertial systems; Multi-sensor fusion; Multi-sensor fusion navigation; Pose-only formulation; Tightly coupling; Tightly-coupled; Visual-inertial system; Global positioning system","Article","Final","","Scopus","2-s2.0-105015337765"
"Aslan M.F.; Durdu A.; Sabanci K.","Aslan, Muhammet Fatih (57205362915); Durdu, Akif (55364612200); Sabanci, Kadir (56394515400)","57205362915; 55364612200; 56394515400","Visual-Inertial Image-Odometry Network (VIIONet): A Gaussian process regression-based deep architecture proposal for UAV pose estimation","2022","Measurement: Journal of the International Measurement Confederation","194","","111030","","","41","10.1016/j.measurement.2022.111030","https://www.scopus.com/pages/publications/85126838051?origin=resultslist","This study estimates the pose of Unmanned Aerial Vehicle (UAV) through artificial intelligence-based approaches and combines visual-inertial information in a different way than previous studies. For an effective fusion, the inertial data between both frames is normalized after denoising with the Savitzky-Golay technique and finally converted from numerical value to image. To strengthen these inertial image features with the change of motion between two frames, frames of Optical Flow (OF) are obtained and OF frames are combined with inertial images. Simultaneously, a parallel thread combines this OF frame with two consecutive raw frames. After features are extracted from inertial and camera data via Inception-v3, these features are fused and actual UAV poses are estimated via Gaussian Process Regression (GPR). Thanks to the smoothing process applied to these estimated values, a more stable pose estimation is provided. This proposed method is applied to the EuRoC dataset and our dataset produced in the Gazebo environment. The pose estimation results reveal that the proposed method has high performance compared to many previous studies. © 2022 Elsevier Ltd","Deep learning; Denoising; EuRoC; Gaussian process regression; Inertial image; UAV; Visual inertial odometry","Antennas; Deep learning; Gaussian distribution; Gaussian noise (electronic); Regression analysis; De-noising; Deep architectures; Deep learning; EuRoC; Gaussian process regression; Inertial image; Odometry; Pose-estimation; Vehicle pose; Visual inertial odometry; Unmanned aerial vehicles (UAV)","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85126838051"
