Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
C,"Zhu, Jinyao; Yao, Chao; Janschek, Klaus",,,,,"Yao, Chao/0000-0001-8599-112X; Janschek, Klaus/0000-0002-7244-8977",,,,,Stereo Visual-Inertial Fusion for UAV State Estimation,,,,,,,,IFAC PAPERSONLINE,,,,53,2,,,9420,9425,,,,10.1016/j.ifacol.2020.12.2412,,,,,,,Proceedings Paper,2020,2020,"Visual-inertial fusion is frequently used for state estimation in aerial robotic applications due to the low-cost, simple hardware setup as well as the high accuracy. This work proposes a stereo visual-inertial fusion system based on the monocular method VINS-Mono, which tightly combines the visual and inertial measurements. Timing statistics are provided for the system running on an Intel NUC Mini-PC. The system real-time capability fulfills the requirements of the closed-loop control for a UAV. The proposed fusion system is evaluated in the public EuRoC MAV dataset and compared with several representative state-of-the-art open-sourced state estimators. According to the results, our method achieves competitive performance with relative low estimation errors in a computationally efficient manner. Copyright (C) 2020 The Authors.",,,,,21st IFAC World Congress on Automatic Control - Meeting Societal Challenges21st IFAC World Congress on Automatic Control - Meeting Societal Challenges,"JUL 11-17, 2020JUL 11-17, 2020",Int Federat Automat Control; Siemens; Bayer; ABB; MathWorks; Phoenix Contact; Ifak Technol; Berlin Heart; Elsevier; De Gruyter; Tele Medi GmbHInt Federat Automat Control; Siemens; Bayer; ABB; MathWorks; Phoenix Contact; Ifak Technol; Berlin Heart; Elsevier; De Gruyter; Tele Medi GmbH,ELECTR NETWORKELECTR NETWORK,1,0,0,0,0,0,1,0,6,2405-8963,,,,,,,,,,,,,,,2021-06-19,WOS:000652593100104,,
C,"Lee, Eungchang Mason; Wee, Inhwan; Kim, Taeyeon; Shim, David Hyunchul",,,IEEE,"Shim, Hyunchul/C-1669-2011","Lee, Eungchang/0000-0003-0219-784X",,,,,Comparison of Visual Inertial Odometry using FlightGoggles Simulator for UAV,,,,,,,,"2019 19TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS (ICCAS 2019)",,International Conference on Control Automation and Systems,,,,,,1166,1169,,,,10.23919/iccas47443.2019.8971738,,,,,,,Proceedings Paper,2019,2019,"Recently, application of Unmanned Aerial Vehicle (UAV) attract much attention of not only academic but also industrial community. To control and make the most of UAV, state estimation is mandatory and it should work accurately on Real-time on computational-limited onboard PC. Especially, for the cases that GNSS-disabled environments or indoor situation, Visual Inertial Odometry using camera and IMU sensor has been actively studied.Generally, to research and develop the indoor navigation algorithm, high-performanced and super-expensive facilities like motion capture cameras are needed to measure the ground-truth.In this paper, we apply state-of-art Visual Inertial Odometry algorithms for state estimation of UAVs to FlightGoggles simulator which is photorealistic and which reflects UAV's real dynamics. Moreover, we compare the performance and resource utilization of those algorithms.",,,,,"19th International Conference on Control, Automation and Systems (ICCAS)19th International Conference on Control, Automation and Systems (ICCAS)","OCT 15-18, 2019OCT 15-18, 2019",IEEE; SICE; SCS; ACA; ECTI Assoc; ISR; AAI; Korea Tourism Org; Korean Federat Sci & Technol Soc; Jeju Convent & Visitors Bur; RS Automat; LG Chern; LSIS; SK Incheon; Inst Control Robot & SystIEEE; SICE; SCS; ACA; ECTI Assoc; ISR; AAI; Korea Tourism Org; Korean Federat Sci & Technol Soc; Jeju Convent & Visitors Bur; RS Automat; LG Chern; LSIS; SK Incheon; Inst Control Robot & Syst,"Jeju, SOUTH KOREAJeju, SOUTH KOREA",6,0,0,0,0,0,6,0,1,2093-7121,,978-89-93215-18-2,,,,,,,,,,,,,2020-08-19,WOS:000555707100166,,
C,"De Vito, Luca; Neyestani, Arman; Picariello, Francesco; Rapuano, Sergio; Tudosa, Ioan",,,IEEE,"Picariello, Francesco/L-5163-2019; De Vito, Luca/L-2997-2015; Rapuano, Sergio/HKE-2014-2023; TUDOSA, IOAN/D-3846-2013","Picariello, Francesco/0000-0001-6854-3026; De Vito, Luca/0000-0003-1896-2614;",,,,,Sensitivity Analysis of a Visual Inertial Odometry-based Navigation System for UAV,,,,,,,,"2025 IEEE INTERNATIONAL INSTRUMENTATION AND MEASUREMENT TECHNOLOGY CONFERENCE, I2MTC",,IEEE Instrumentation and Measurement Technology Conference,,,,,,,,,,,10.1109/I2MTC62753.2025.11079197,,,,,,,Proceedings Paper,2025,2025,"This paper presents a detailed sensitivity analysis of a Visual-Inertial Odometry (VIO) framework designed for unmanned aerial vehicle (UAV) navigation, utilizing sensor fusion from cameras, LiDAR, altimeters, and inertial measurement units (IMUs). The analysis quantifies the impact of various sources of uncertainty, including environmental and lighting conditions, intrinsic sensor parameters, and algorithmic factors associated with keypoint detection and matching. Through Monte Carlo simulations, several keypoint detection techniques, specifically ORB and semantic segmentation, are evaluated across diverse operational scenarios. The results demonstrate that the analysed framework achieves reliable trajectory estimation, with both ORB and semantic segmentation providing accurate and consistent positioning. Notably, semantic segmentation achieves the lowest uncertainty under varying conditions. This study validates the proposed uncertainty model and identifies critical factors influencing the reliability of VIO-based UAV navigation, offering insights for enhancing system performance in real-world applications.",,,,,2025 International Instrumentation and Measurement Technology Conference-I2MTC-Annual2025 International Instrumentation and Measurement Technology Conference-I2MTC-Annual,"MAY 19-22, 2025MAY 19-22, 2025",Institute of Electrical and Electronics Engineers Inc; IEEE Instrumentation and Measurement SocietyInstitute of Electrical and Electronics Engineers Inc; IEEE Instrumentation and Measurement Society,"Chemnitz, GERMANYChemnitz, GERMANY",0,0,0,0,0,0,0,1,1,2642-2069,,979-8-3315-0501-1; 979-8-3315-0500-4,,,,,,,,,,,,,2025-12-05,WOS:001554207900262,,
J,"Zeng, Qingxi; Yu, Haonan; Ji, Xufang; Tao, Xiaodong; Hu, Yixuan",,,,,"Zeng, Qingxi/0000-0003-2310-0656",,,,,Fast and Robust Semidirect Monocular Visual-Inertial Odometry for UAV,,,,,,,,IEEE SENSORS JOURNAL,,,,23,20,,,25254,25262,,,,10.1109/JSEN.2023.3309907,,,,,,,Article,OCT 15 2023,2023,"State estimation is critical for achieving autonomous navigation of the unmanned aerial vehicle (UAV). We present a fast and robust monocular visual-inertial odometry (VIO) algorithm, which achieves real-time pose estimation for UAV. A semidirect method for tracking is used in the front end to address the problem of the slow running speed of traditional VIO on onboard computing platforms, which preserves the fast performance of direct methods and the robustness of feature-based methods. Edgelet features are added to the Shi-Tomasi feature extraction to enhance the robustness of VIO in low-texture environments. Furthermore, a quadtree-based feature extraction algorithm is employed to filter features, which effectively addresses the issue of feature accumulation. In the back end of the VIO system, a sliding-window-based nonlinear optimization method is used to fuse image and inertial information. We evaluate our approach on the public European robotics challenges micro aerial vehicle (EuRoC MAV) dataset and compare it with the state-of-the-art VIO algorithms. The experimental results demonstrate that our proposed VIO system is capable of operating in challenging scenarios with fast motion, image blur, and weak texture features. Moreover, our proposed VIO system achieves comparable accuracy to the state-of-the-art VIO algorithms while improving tracking speed by 54.28% compared to VINS-Mono.",,,,,,,,,9,1,0,0,0,0,10,7,51,1530-437X,1558-1748,,,,,,,,,,,,,,2023-11-24,WOS:001098067300133,,
C,"Turci, Lorenzo; Causa, Flavia; Opromolla, Roberto; Fasano, Giancarmine",,,IEEE,"Causa, Flavia/AFM-5355-2022; Opromolla, Roberto/M-1585-2016; Fasano, Giancarmine/JWA-6282-2024",,,,,,LiDAR-Visual-Inertial Fusion Architectures for GNSS-Resilient Aerial Navigation: Performance Assessment,,,,,,,,"2025 AIAA DATC/IEEE 44TH DIGITAL AVIONICS SYSTEMS CONFERENCE, DASC",,IEEE-AIAA Digital Avionics Systems Conference,,,,,,,,,,,10.1109/DASC66011.2025.11257343,,,,,,,Proceedings Paper,2025,2025,"This work proposes a performance assessment of LiDAR-Visual-Inertial navigation approaches specifically tailored for GNSS-denied or challenged circumstances. A data fusion scheme, based on Extended Kalman Filter, has been designed to face various environmental and flight conditions that occur depending on topology and morphological characteristics of the environment and UAV dynamic. It loosely integrates camera and LiDAR measurements. Their measurements are combined altogether exploiting LiDAR measurements to associate depth information with image features. Conversely, when camera measurements cannot be used, LiDAR odometry is performed to incrementally estimate the pose of the UAV by defining the pose transformation between one LiDAR point cloud and the following one, integrating the solution with the filter propagated state in order to bound the otherwise unbounded drift of IMU-only navigation solution. Sensors measurements are fed into the filter weighted by their own covariance, which indicates the level of confidence associated with the measurement. A set of gating criteria is introduced to assess the validity of each measurement to be used within the filter and thus to improve its resiliency against anomalous pose estimates. In general, particular attention is paid to the integrity of the multi-sensor-based solution. The strategy is assessed through numerical simulations conducted within the Unreal Engine 4 environment integrated with MATLAB and Simulink, which allows retrieving realistic sensors data by simulating aircraft trajectory, rich texture 3D geometry, and world-like scene. Results show percentage errors on the position estimates, computed with respect to the UAV traveled distance, below 0.9%, and errors on attitude angles estimate under 0.8 degrees.",,,,,44th AIAA DATC/IEEE Digital Avionics Systems Conference-DASC44th AIAA DATC/IEEE Digital Avionics Systems Conference-DASC,"SEP 14-18, 2025SEP 14-18, 2025",DATC KK; American Institute of Aeronautics and Astronautics (AIAA); MITRE CorporationDATC KK; American Institute of Aeronautics and Astronautics (AIAA); MITRE Corporation,"Montreal, CANADAMontreal, CANADA",0,0,0,0,0,0,0,2,2,2155-7195,,979-8-3315-2520-0; 979-8-3315-2519-4,,,,,,,,,,,,,2026-02-21,WOS:001665766800158,,
J,"Chen, Xinyu; Li, Shuaixin; Lu, Ruifeng; Zhu, Xiaozhou",,,,"li, shuaixin/AAQ-6221-2020; Zhu, Xiaozhou/OJT-8416-2025","li, shuaixin/0000-0002-0933-8740; Zhu, Xiaozhou/0000-0003-2305-7467",,,,,GPLVINS: Tightly Coupled GNSS-Visual-Inertial Fusion for Consistent State Estimation with Point and Line Features for Unmanned Aerial Vehicles,,,,,,,,DRONES,,,,9,11,,,,,801,,,10.3390/drones9110801,,,,,,,Article,NOV 17 2025,2025,"Highlights What are the main findings? Proposes the GPLVINS system for UAVs, which builds a tightly coupled GNSS-visual-inertial nonlinear optimization framework by fusing point and line features on the basis of GVINS. This addresses the issue of insufficient feature extraction in traditional point-feature VIO under texture-sparse environments and enhances the stability of UAV 6-DoF pose estimation. Optimizes the traditional LSD line feature extraction algorithm: short line segments are filtered out via non-maximum suppression and length threshold screening. This not only reduces computational cost but also integrates line reprojection residuals into the optimization process, further improving positioning accuracy. What are the implication of the main findings? By comparing the performance of GPLVINS with GVINS, PL-VIO, and VINS-Fusion in indoor, outdoor, and indoor-outdoor transition scenarios, GPLVINS demonstrates superior positioning performance compared with other algorithms. Our system can handle complex situations such as drastic changes in lighting, loss of GNSS signals, or feature degradation, making it more suitable for the practical operational requirements of UAVs. Offers a more reliable state estimation scheme for UAV autonomous navigation. Particularly in GNSS-constrained or visually sparse feature scenarios, the incorporation of line features supplements environmental constraints and reduces the risk of pose drift, laying a foundation for subsequent extensions to stereo vision and adaptation to larger-scale textureless scenarios.Highlights What are the main findings? Proposes the GPLVINS system for UAVs, which builds a tightly coupled GNSS-visual-inertial nonlinear optimization framework by fusing point and line features on the basis of GVINS. This addresses the issue of insufficient feature extraction in traditional point-feature VIO under texture-sparse environments and enhances the stability of UAV 6-DoF pose estimation. Optimizes the traditional LSD line feature extraction algorithm: short line segments are filtered out via non-maximum suppression and length threshold screening. This not only reduces computational cost but also integrates line reprojection residuals into the optimization process, further improving positioning accuracy. What are the implication of the main findings? By comparing the performance of GPLVINS with GVINS, PL-VIO, and VINS-Fusion in indoor, outdoor, and indoor-outdoor transition scenarios, GPLVINS demonstrates superior positioning performance compared with other algorithms. Our system can handle complex situations such as drastic changes in lighting, loss of GNSS signals, or feature degradation, making it more suitable for the practical operational requirements of UAVs. Offers a more reliable state estimation scheme for UAV autonomous navigation. Particularly in GNSS-constrained or visually sparse feature scenarios, the incorporation of line features supplements environmental constraints and reduces the risk of pose drift, laying a foundation for subsequent extensions to stereo vision and adaptation to larger-scale textureless scenarios.Abstract The employment of linear features to enhance the positioning precision and robustness of point-based VIO (visual-inertial odometry) has attracted mounting attention, especially for UAV (unmanned aerial vehicle) applications where reliable 6-DoF pose estimation is critical for autonomous navigation, mission execution, and safety.This paper presents GPLVINS-GNSS (global navigation satellite system)-point-line-visual-inertial navigation system-a UAV-tailored enhancement of the nonlinear optimization-based GVINS (GNSS-visual-inertial navigation system). Unlike GVINS, which struggles with feature extraction in weak-texture environments and depends entirely on point features, GPLVINS innovatively integrates line features into its state optimization framework to enhance robustness and accuracy. While existing studies adopt the LSD (line segment detector) algorithm for line feature extraction, this approach often generates numerous short line segments in real-world scenes. Such an outcome not only increases computational costs but also degrades pose estimation performance. In order to address this issue, the present study proposes an NMS (non-maximum suppression) strategy for the refinement of LSD. The line reprojection residual is then formulated as the distance between point and line, which is incorporated into the nonlinear optimization process. Experimental validations on open-source datasets and self-collected UAV datasets across indoor, outdoor, and indoor-outdoor transition scenarios demonstrate that GPLVINS exhibits superior positioning performance and enhanced robustness for UAVs in environments with feature degradation or drastic lighting intensity variations.",,,,,,,,,0,0,0,0,0,0,0,4,4,,2504-446X,,,,,,,,,,,,,,2025-12-02,WOS:001624518900001,,
J,"Jung, Jae Hyung; Choe, Yeongkwon; Park, Chan Gook",,,,,"Choe, Yeongkwon/0000-0003-0328-2480; Jung, Jaehyung/0000-0003-4252-2758",,,,,Photometric Visual-Inertial Navigation With Uncertainty-Aware Ensembles,,,,,,,,IEEE TRANSACTIONS ON ROBOTICS,,,,38,4,,,2039,2052,,,,10.1109/TRO.2021.3139964,,,,,JAN 2022,,Article,AUG 2022,2022,"In this article, we propose a visual-inertial navigation system that directly minimizes a photometric error without an explicit data-association. We focus on the photometric error parametrized by pose and structure parameters that is highly nonconvex due to the nonlinearity of image intensity. The key idea is to introduce an optimal intensity gradient that accounts for a projective uncertainty of a pixel. Ensembles sampled from the state uncertainty contribute to the proposed gradient and yield a correct update direction even in a bad initialization point. We present two sets of experiments to demonstrate the strengths of our framework. First, a thorough Monte Carlo simulation in a virtual trajectory is designed to reveal robustness to large initial uncertainty. Second, we show that the proposed framework can achieve superior estimation accuracy with efficient computation time over state-of-the-art visual-inertial fusion methods in a real-world UAV flight test, where most scenes are composed of a featureless floor.",,,,,,,,,15,1,0,0,0,0,16,2,58,1552-3098,1941-0468,,,,,,,,,,,,,,2022-02-01,WOS:000745434200001,,
J,"Hong, Euntae; Lim, Jongwoo",,,,,,,,,,Visual-Inertial Odometry with Robust Initialization and Online Scale Estimation,,,,,,,,SENSORS,,,,18,12,,,,,4287,,,10.3390/s18124287,,,,,,,Article,DEC 2018,2018,"Visual-inertial odometry (VIO) has recently received much attention for efficient and accurate ego-motion estimation of unmanned aerial vehicle systems (UAVs). Recent studies have shown that optimization-based algorithms achieve typically high accuracy when given enough amount of information, but occasionally suffer from divergence when solving highly non-linear problems. Further, their performance significantly depends on the accuracy of the initialization of inertial measurement unit (IMU) parameters. In this paper, we propose a novel VIO algorithm of estimating the motional state of UAVs with high accuracy. The main technical contributions are the fusion of visual information and pre-integrated inertial measurements in a joint optimization framework and the stable initialization of scale and gravity using relative pose constraints. To account for the ambiguity and uncertainty of VIO initialization, a local scale parameter is adopted in the online optimization. Quantitative comparisons with the state-of-the-art algorithms on the European Robotics Challenge (EuRoC) dataset verify the efficacy and accuracy of the proposed method.",,,,,,,,,17,1,0,0,0,0,19,0,18,,1424-8220,,,,,,,,,,,,,,2019-01-22,WOS:000454817100206,30563151,
J,"Luo, Haolong; Li, Guangyun; Zou, Danping; Li, Kailin; Li, Xueqiang; Yang, Zidi",,,,"Li, Guang-Yun/AAE-4975-2019","Yang, Zidi/0009-0009-3500-5147",,,,,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,,,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,61,,,,,,1001615,,,10.1109/TGRS.2023.3323519,,,,,,,Article,2023,2023,"In global satellite navigation system (GNSS)-denied environments, unmanned aerial vehicle (UAV) navigation based on visual-inertial odometry (VIO) has been widely studied. However, existing VIO methods still suffer from some practical problems, such as image enhancement oversaturation and unreasonable weighting in backend optimization. Therefore, this article presents monocular VIO with point-line fusion and backend adaptive optimization to improve the positioning accuracy and robustness of UAV navigation systems. In the front end, we proposed an adaptive gamma image correction algorithm for image preprocessing to avoid image oversaturation, which is more conducive to image extraction and matching. Instead of the traditional line segment detector (LSD) line feature extraction algorithm, we employed an improved EDLines algorithm to enhance the efficiency of line feature extraction, better meeting the high dynamic real-time requirements of UAV. In the backend, we proposed a tightly coupled nonlinear adaptive optimization method based on a two-step approach to address the issue of unreasonable static weights. In the first step, we established a factor graph model and performed the first nonlinear optimization based on a priori visual weights. In the second step, we calculated the reprojection error and established a functional model that examines the relationship between the reprojection error and the information matrix. We updated the information matrix using the reprojection error to adaptively adjust the weights of the point features and line features in real time. Finally, we performed a second nonlinear reoptimization. The proposed method was compared with the monocular visual-inertial system (VINS-MONO) (Qin et al. 2018) and point and line features (PL)-VINS (Fu et al. 2020) methods, the experimental results showing that the positioning accuracy of the proposed method on the public EuRoc dataset (Burri et al. 2016) improved by an average of 32.3% compared with the PL-VINS method, and by an average of 33.8% in three real-world scenarios under changing illumination, weak texture, and large-scale complex scenarios. The results demonstrated that the proposed method exhibited better robustness and higher positioning accuracy in various complex environments.",,,,,,,,,21,4,0,0,0,0,25,11,70,0196-2892,1558-0644,,,,,,,,,,,,,,2023-11-09,WOS:001087763100035,,
C,"Zhu, Xiangyu; Zhou, Jiaqi; Liang, Juntao; Zhou, Dongjie; Qiu, Zhoujingzi; Wang, Yong; Wu, Shunan; Wu, Zhigang",,,,"Zhou, Jiaqi/Q-2532-2018; Wu, Shunan/PMS-2670-2026",,"Yang, J; Zheng, Y; Gong, C",,,,A Simulated Dataset to Evaluate the Visual-Inertial Odometry Algorithms,,,,,,,,"PATTERN ANALYSIS AND MACHINE INTELLIGENCE, ICPAMI 2024",,Communications in Computer and Information Science,,2323,,,,202,207,,,,10.1007/978-981-96-3349-4_24,,,,,,,Proceedings Paper,2025,2025,"Visual-Inertial Odometry (VIO) algorithms play a crucial role in navigation and localization applications. However, they still face challenges in dynamic and adverse weather environments. Existing datasets often fail to capture the characteristics of such environments, making it difficult to evaluate the robustness of current VIO methods. To address this issue, we propose three contributions in this paper. Firstly, we present a novel dataset that records the flight of a simulated unmanned aerial vehicle (UAV) in challenging dynamic and foggy conditions. The dataset includes five different scenes, each with distinct characteristics, where we introduce moving objects and vary lighting and weather conditions. It comprises synchronized images, IMU data, as well as ground truth trajectories. Secondly, we compare state-of-the-art VIO algorithms on our dataset, demonstrating significant performance degradation in the aforementioned scenes. Lastly, we summarize the limitations of current VIO algorithms and provide insights into future research directions.",,,,,1st International Conference on Pattern Analysis and Machine Intelligence-ICPAMI1st International Conference on Pattern Analysis and Machine Intelligence-ICPAMI,"AUG 30-SEP 01, 2024AUG 30-SEP 01, 2024",Shanghai Jiao Tong University; Zhejiang University of TechnologyShanghai Jiao Tong University; Zhejiang University of Technology,PEOPLES R CHINAPEOPLES R CHINA,0,0,0,0,0,0,0,0,1,1865-0929,1865-0937,978-981-96-3348-7; 978-981-96-3349-4,,,,,,,,,,,,,2025-07-24,WOS:001512687800024,,
