id,ref_number,gap,hit:adaptive altitude,hit:adaptive barometer,hit:adaptive height,hit:altimeter,hit:altitude sensor,hit:barometer,hit:barometer noise,hit:barometric,hit:barometric covariance,hit:descriptor quality,hit:descriptor uniqueness,hit:feature confidence,hit:feature quality,hit:feature reliability,hit:feature score,hit:height sensor,hit:keypoint confidence,hit:keypoint quality,hit:match confidence,hit:per keypoint,hit:per-feature weight,hit:per-feature weighting,hit:per-keypoint,hit:quality weighted,hit:quality-weighted,total_hits
P0176,17,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0176,17,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0089,18,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0089,18,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0361,19,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0361,19,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0067,20,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0067,20,G3,0,0,0,1,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0408,21,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0408,21,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0315,22,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0315,22,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0108,23,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0108,23,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0393,24,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0393,24,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0383,25,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0383,25,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0124,26,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0124,26,G3,0,0,0,2,0,0,0,1,0,,,,,,,0,,,,,,,,0,0,3
P0105,27,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0105,27,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0037,28,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0037,28,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0363,29,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0363,29,G3,0,0,0,0,0,0,0,4,0,,,,,,,0,,,,,,,,0,0,4
P0106,30,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
