id,ref_number,doi
P0176,17,10.1109/tro.2021.3139964
P0089,18,10.1007/s10514-017-9690-5
P0361,19,10.1109/iros.2015.7353389
P0067,20,10.1109/iccas.2015.7364912
P0408,21,10.1177/1687814016640996
P0315,22,10.1109/icuas.2017.7991446
P0108,23,10.1109/reduas47371.2019.8999672
P0393,24,10.1109/icarm.2018.8610740
P0383,25,10.3390/s20051263
P0124,26,10.3390/s20082209
P0105,27,10.23919/ccc50068.2020.9188820
P0037,28,10.1007/s44196-025-00942-0
P0363,29,10.1109/access.2025.3650454
P0106,30,10.1016/j.cviu.2026.104650
P0187,31,10.3390/s25247673
P0208,32,10.3390/aerospace12121048
P0326,33,10.3390/s22249654
P0422,34,10.1109/icra57147.2024.10611666
P0427,35,10.3390/machines13020130
P0481,36,10.1109/lra.2022.3194675
P0624,37,10.1109/icns65417.2025.10976891
P0182,38,10.1007/978-3-319-50835-1_51
P0027,39,10.3390/s18124287
P0377,40,10.1109/icra.2018.8460193
P0018,41,10.1109/iros45743.2020.9341697
P0103,42,10.1109/tim.2020.2989877
P0021,43,10.1007/s40435-023-01357-5
P0202,44,10.1007/s12555-022-0210-9
P0026,45,10.1016/j.ast.2021.107065
P0039,46,10.3390/drones8090487
P0101,47,10.3390/s25154745
P0115,48,10.3390/drones10030175
P0122,49,10.3390/drones9110801
P0131,50,10.3390/aerospace10030220
P0167,51,10.1016/j.measurement.2022.112256
P0172,52,10.1145/3665645
P0188,53,10.3390/biomimetics7040169
P0197,54,10.1016/j.autcon.2023.105139
P0294,55,10.1016/j.ast.2021.107250
P0298,56,10.1016/j.eswa.2025.126813
P0300,57,10.3390/rs14040979
P0302,58,10.3390/rs16163038
P0316,59,10.3390/drones7080540
P0414,60,10.1016/j.asoc.2025.112809
P0099,61,10.23919/acc45564.2020.9147400
P0535,62,10.1109/access.2021.3049896
P0440,63,10.1109/nics54270.2021.9701527
P0216,64,10.1016/j.measurement.2022.111030
P0286,65,10.1109/access.2023.3279292
P0196,66,10.1109/lra.2024.3479713
P0087,67,10.3390/math13233842
P0538,68,10.1109/icra.2018.8461213
P0309,69,10.1109/icra48506.2021.9560944
P0178,70,10.1109/access.2026.3666998
P0285,71,10.3390/s19102273
P0345,72,10.1109/icra.2015.7139554
P0023,73,10.1016/j.ifacol.2020.12.2412
P0339,74,10.1109/tiv.2024.3469551
P0336,75,10.1109/icuas.2019.8798279
P0321,76,10.1109/iros.2017.8206189
P0337,77,10.12716/1001.19.04.02
P0412,78,10.1109/icra.2017.7989745
P0217,79,10.1109/access.2020.3000555
P0341,80,10.1109/icuas54217.2022.9836067
P0545,81,10.1109/icra.2018.8462920
P0245,82,10.1109/icra.2018.8460692
P0228,83,10.1109/tie.2020.3000097
P0378,84,10.3390/drones6110312
P0403,85,10.3390/drones8060257
P0406,86,10.1109/taes.2022.3142663
P0338,87,10.1016/j.eswa.2025.126656
P0118,88,10.3390/s25010061
P0031,89,10.33012/2024.19790
P0256,90,10.1016/j.ifacol.2021.11.272
P0284,91,10.1109/tim.2024.3509582
P0322,92,10.1016/j.neucom.2024.129017
P0340,93,10.1109/iros55552.2023.10342012
P0346,94,10.1109/icra57147.2024.10611466
P0349,95,10.1016/j.neunet.2022.09.001
P0417,96,10.1109/lra.2024.3377950
P0418,97,10.1109/iros58592.2024.10802622
P0662,98,10.1109/tro.2024.3502198
P0663,99,10.1109/tro.2024.3422003
P0044,100,10.1109/cfasta57821.2023.10243321
P0002,101,10.1109/rcar58764.2023.10249971
P0016,102,10.1109/tro.2025.3613467
P0036,103,10.1109/tim.2025.3538081
P0048,104,10.1109/cvidl58838.2023.10166845
P0055,105,10.1109/rem63063.2024.10735689
P0063,106,10.1109/aiotc66747.2025.11198761
P0070,107,10.1109/tcst.2024.3366695
P0072,108,10.1109/ihmsc62065.2024.00020
P0076,109,10.1109/itsc57777.2023.10422196
P0084,110,10.1109/tim.2025.3555758
P0086,111,10.1109/tvt.2025.3628254
P0153,112,10.1109/jsen.2023.3312731
P0271,113,10.1109/jiot.2025.3573755
P0289,114,10.1109/taes.2023.3297555
P0293,115,10.1109/jsen.2023.3309907
P0368,116,10.1109/i2mtc62753.2025.11079197
P0369,117,10.1109/icinfa.2018.8812447
P0049,118,10.1109/iros47612.2022.9982254
P0437,119,10.1109/icuas54217.2022.9836124
P0632,120,10.1109/tro.2026.3658293
P0005,121,10.1109/cait68620.2025.11424858
P0042,122,10.1109/icra48891.2023.10160393
P0052,123,10.23919/iccas52745.2021.9649897
P0075,124,10.1109/dasc62030.2024.10748659
P0119,125,10.1109/ccece49351.2022.9918398
P0120,126,10.1109/tgrs.2023.3323519
P0128,127,10.1109/robio66223.2025.11378261
P0173,128,10.1109/dasc66011.2025.11257343
P0211,129,10.1109/icra46639.2022.9811757
P0225,130,10.1109/icrae53653.2021.9657780
P0251,131,10.1109/tim.2024.3403196
P0335,132,10.1109/jsen.2024.3487243
P0374,133,10.1109/iros58592.2024.10801565
P0381,134,10.1109/ifeea64237.2024.10878697
P0425,135,10.1109/tim.2022.3198713
P0565,136,10.1109/icvisp68610.2025.11451677
P0584,137,10.1109/tcsvt.2025.3530077
P0613,138,10.1109/metroaerospace64938.2025.11114464
P0434,139,10.1109/cac67268.2025.11487778
